category,indicator_name,chinese_name,source,series_id,frequency,units,enabled,status,file_path
通胀 / 通胀预期,CPI,,fred,CPIAUCSL,M,Index 1982-1984=100,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\CPI.csv
通胀 / 通胀预期,CPI_同比,CPI_同比,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\CPI_同比.csv
通胀 / 通胀预期,CPI_环比,CPI_环比,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\CPI_环比.csv
通胀 / 通胀预期,CPI_环比年化,CPI_环比年化,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\CPI_环比年化.csv
通胀 / 通胀预期,核心CPI,核心CPI,fred,CPILFESL,M,Index 1982-1984=100,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\核心CPI.csv
通胀 / 通胀预期,核心CPI_同比,核心CPI_同比,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\核心CPI_同比.csv
通胀 / 通胀预期,核心CPI_环比,核心CPI_环比,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\核心CPI_环比.csv
通胀 / 通胀预期,核心CPI_环比年化,核心CPI_环比年化,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\核心CPI_环比年化.csv
通胀 / 通胀预期,PCE,,fred,PCEPI,M,Index 2017=100,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\PCE.csv
通胀 / 通胀预期,PCE_同比,PCE_同比,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\PCE_同比.csv
通胀 / 通胀预期,PCE_环比,PCE_环比,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\PCE_环比.csv
通胀 / 通胀预期,PCE_环比年化,PCE_环比年化,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\PCE_环比年化.csv
通胀 / 通胀预期,核心PCE,核心PCE,fred,PCEPILFE,M,Index 2017=100,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\核心PCE.csv
通胀 / 通胀预期,核心PCE_同比,核心PCE_同比,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\核心PCE_同比.csv
通胀 / 通胀预期,核心PCE_环比,核心PCE_环比,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\核心PCE_环比.csv
通胀 / 通胀预期,核心PCE_环比年化,核心PCE_环比年化,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\核心PCE_环比年化.csv
通胀 / 通胀预期,PPI,,fred,PPIACO,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\PPI.csv
通胀 / 通胀预期,PPI_同比,PPI_同比,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\PPI_同比.csv
通胀 / 通胀预期,PPI_环比,PPI_环比,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\PPI_环比.csv
通胀 / 通胀预期,PPI_环比年化,PPI_环比年化,fred,,m,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\PPI_环比年化.csv
通胀 / 通胀预期,GDP平减指数,GDP平减指数,fred,GDPDEF,Q,Index 2017=100,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\GDP平减指数.csv
通胀 / 通胀预期,GDP平减指数_同比,GDP平减指数_同比,fred,,q,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\GDP平减指数_同比.csv
通胀 / 通胀预期,GDP平减指数_环比,GDP平减指数_环比,fred,,q,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\GDP平减指数_环比.csv
通胀 / 通胀预期,GDP平减指数_环比年化,GDP平减指数_环比年化,fred,,q,,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\GDP平减指数_环比年化.csv
通胀 / 通胀预期,密歇根大学1年通胀预期,密歇根大学1年通胀预期,fred,MICH,M,%,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\密歇根大学1年通胀预期.csv
通胀 / 通胀预期,5年盈亏平衡通胀率,5年盈亏平衡通胀率,fred,T5YIE,D,%,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\5年盈亏平衡通胀率.csv
通胀 / 通胀预期,10年盈亏平衡通胀率,10年盈亏平衡通胀率,fred,T10YIE,D,%,True,active,D:\note\pandas_project\gold_price_analysis\data\fred\通胀_通胀预期\10年盈亏平衡通胀率.csv
