date,value,source
1990-01-02,126.09,cboe:SKEW_History.csv
1990-01-03,123.34,cboe:SKEW_History.csv
1990-01-04,122.62,cboe:SKEW_History.csv
1990-01-05,121.27,cboe:SKEW_History.csv
1990-01-08,124.12,cboe:SKEW_History.csv
1990-01-09,119.82,cboe:SKEW_History.csv
1990-01-10,120.82,cboe:SKEW_History.csv
1990-01-11,107.48,cboe:SKEW_History.csv
1990-01-12,116.78,cboe:SKEW_History.csv
1990-01-15,116.16,cboe:SKEW_History.csv
1990-01-16,120.62,cboe:SKEW_History.csv
1990-01-17,123.03,cboe:SKEW_History.csv
1990-01-18,131.14,cboe:SKEW_History.csv
1990-01-19,129.31,cboe:SKEW_History.csv
1990-01-22,118.95,cboe:SKEW_History.csv
1990-01-23,117.94,cboe:SKEW_History.csv
1990-01-24,128.75,cboe:SKEW_History.csv
1990-01-25,124.33,cboe:SKEW_History.csv
1990-01-26,122.76,cboe:SKEW_History.csv
1990-01-29,124.6,cboe:SKEW_History.csv
1990-01-30,120.91,cboe:SKEW_History.csv
1990-01-31,128.22,cboe:SKEW_History.csv
1990-02-01,129.53,cboe:SKEW_History.csv
1990-02-02,132.53,cboe:SKEW_History.csv
1990-02-05,121.22,cboe:SKEW_History.csv
1990-02-06,120.3,cboe:SKEW_History.csv
1990-02-07,123.35,cboe:SKEW_History.csv
1990-02-08,124.87,cboe:SKEW_History.csv
1990-02-09,126.06,cboe:SKEW_History.csv
1990-02-12,126.99,cboe:SKEW_History.csv
1990-02-13,133.06,cboe:SKEW_History.csv
1990-02-14,131.55,cboe:SKEW_History.csv
1990-02-15,139.07,cboe:SKEW_History.csv
1990-02-16,136.61,cboe:SKEW_History.csv
1990-02-20,126.47,cboe:SKEW_History.csv
1990-02-21,129.17,cboe:SKEW_History.csv
1990-02-22,124.8,cboe:SKEW_History.csv
1990-02-23,125.82,cboe:SKEW_History.csv
1990-02-26,130.69,cboe:SKEW_History.csv
1990-02-27,131.45,cboe:SKEW_History.csv
1990-02-28,123.1,cboe:SKEW_History.csv
1990-03-01,123.96,cboe:SKEW_History.csv
1990-03-02,126.44,cboe:SKEW_History.csv
1990-03-05,124.24,cboe:SKEW_History.csv
1990-03-06,124.86,cboe:SKEW_History.csv
1990-03-07,121.08,cboe:SKEW_History.csv
1990-03-08,124.46,cboe:SKEW_History.csv
1990-03-09,125.6,cboe:SKEW_History.csv
1990-03-12,129.69,cboe:SKEW_History.csv
1990-03-13,128.07,cboe:SKEW_History.csv
1990-03-14,131.82,cboe:SKEW_History.csv
1990-03-15,133.02,cboe:SKEW_History.csv
1990-03-16,136.73,cboe:SKEW_History.csv
1990-03-19,138.69,cboe:SKEW_History.csv
1990-03-20,134.2,cboe:SKEW_History.csv
1990-03-21,132.58,cboe:SKEW_History.csv
1990-03-22,129.8,cboe:SKEW_History.csv
1990-03-23,130.76,cboe:SKEW_History.csv
1990-03-26,129.9,cboe:SKEW_History.csv
1990-03-27,135.33,cboe:SKEW_History.csv
1990-03-28,133.51,cboe:SKEW_History.csv
1990-03-29,131.2,cboe:SKEW_History.csv
1990-03-30,111.33,cboe:SKEW_History.csv
1990-04-02,126.46,cboe:SKEW_History.csv
1990-04-03,117.63,cboe:SKEW_History.csv
1990-04-04,114.13,cboe:SKEW_History.csv
1990-04-05,114.42,cboe:SKEW_History.csv
1990-04-06,114.91,cboe:SKEW_History.csv
1990-04-09,117.6,cboe:SKEW_History.csv
1990-04-10,119.09,cboe:SKEW_History.csv
1990-04-11,108.87,cboe:SKEW_History.csv
1990-04-12,121.52,cboe:SKEW_History.csv
1990-04-16,126.05,cboe:SKEW_History.csv
1990-04-17,131.24,cboe:SKEW_History.csv
1990-04-18,122.74,cboe:SKEW_History.csv
1990-04-19,120.77,cboe:SKEW_History.csv
1990-04-20,120.88,cboe:SKEW_History.csv
1990-04-23,120.03,cboe:SKEW_History.csv
1990-04-24,124.56,cboe:SKEW_History.csv
1990-04-25,127.03,cboe:SKEW_History.csv
1990-04-26,124.51,cboe:SKEW_History.csv
1990-04-27,118.84,cboe:SKEW_History.csv
1990-04-30,110.49,cboe:SKEW_History.csv
1990-05-01,111.99,cboe:SKEW_History.csv
1990-05-02,128.49,cboe:SKEW_History.csv
1990-05-03,114.27,cboe:SKEW_History.csv
1990-05-04,116.35,cboe:SKEW_History.csv
1990-05-07,117.22,cboe:SKEW_History.csv
1990-05-08,117.83,cboe:SKEW_History.csv
1990-05-09,117.27,cboe:SKEW_History.csv
1990-05-10,119.5,cboe:SKEW_History.csv
1990-05-11,119.51,cboe:SKEW_History.csv
1990-05-14,123.12,cboe:SKEW_History.csv
1990-05-15,125.1,cboe:SKEW_History.csv
1990-05-16,125.7,cboe:SKEW_History.csv
1990-05-17,121.95,cboe:SKEW_History.csv
1990-05-18,124.68,cboe:SKEW_History.csv
1990-05-21,127.35,cboe:SKEW_History.csv
1990-05-22,124.88,cboe:SKEW_History.csv
1990-05-23,118.8,cboe:SKEW_History.csv
1990-05-24,117.3,cboe:SKEW_History.csv
1990-05-25,111.93,cboe:SKEW_History.csv
1990-05-29,122.18,cboe:SKEW_History.csv
1990-05-30,119.88,cboe:SKEW_History.csv
1990-05-31,120.21,cboe:SKEW_History.csv
1990-06-01,119.33,cboe:SKEW_History.csv
1990-06-04,122.78,cboe:SKEW_History.csv
