date,value,source
2007-01-03,15.18,cboe:VIX1Y_History.csv
2007-01-04,14.96,cboe:VIX1Y_History.csv
2007-01-05,15.21,cboe:VIX1Y_History.csv
2007-01-08,15.05,cboe:VIX1Y_History.csv
2007-01-09,15.09,cboe:VIX1Y_History.csv
2007-01-10,14.86,cboe:VIX1Y_History.csv
2007-01-11,14.63,cboe:VIX1Y_History.csv
2007-01-12,14.07,cboe:VIX1Y_History.csv
2007-01-16,14.43,cboe:VIX1Y_History.csv
2007-01-17,14.34,cboe:VIX1Y_History.csv
2007-01-18,14.42,cboe:VIX1Y_History.csv
2007-01-19,14.18,cboe:VIX1Y_History.csv
2007-01-22,14.31,cboe:VIX1Y_History.csv
2007-01-23,14.09,cboe:VIX1Y_History.csv
2007-01-24,13.85,cboe:VIX1Y_History.csv
2007-01-25,14.24,cboe:VIX1Y_History.csv
2007-01-26,14.18,cboe:VIX1Y_History.csv
2007-01-29,14.2,cboe:VIX1Y_History.csv
2007-01-30,14.07,cboe:VIX1Y_History.csv
2007-01-31,13.84,cboe:VIX1Y_History.csv
2007-02-01,13.77,cboe:VIX1Y_History.csv
2007-02-02,13.87,cboe:VIX1Y_History.csv
2007-02-05,13.95,cboe:VIX1Y_History.csv
2007-02-06,13.97,cboe:VIX1Y_History.csv
2007-02-07,13.88,cboe:VIX1Y_History.csv
2007-02-08,13.98,cboe:VIX1Y_History.csv
2007-02-09,14.28,cboe:VIX1Y_History.csv
2007-02-12,14.5,cboe:VIX1Y_History.csv
2007-02-13,14.01,cboe:VIX1Y_History.csv
2007-02-14,13.86,cboe:VIX1Y_History.csv
2007-02-15,13.89,cboe:VIX1Y_History.csv
2007-02-16,13.86,cboe:VIX1Y_History.csv
2007-02-20,13.88,cboe:VIX1Y_History.csv
2007-02-21,14.03,cboe:VIX1Y_History.csv
2007-02-22,14.15,cboe:VIX1Y_History.csv
2007-02-23,14.2,cboe:VIX1Y_History.csv
2007-02-26,14.46,cboe:VIX1Y_History.csv
2007-02-27,16.84,cboe:VIX1Y_History.csv
2007-02-28,15.53,cboe:VIX1Y_History.csv
2007-03-01,15.46,cboe:VIX1Y_History.csv
2007-03-02,16.41,cboe:VIX1Y_History.csv
2007-03-05,16.73,cboe:VIX1Y_History.csv
2007-03-06,15.75,cboe:VIX1Y_History.csv
2007-03-07,15.58,cboe:VIX1Y_History.csv
2007-03-08,15.2,cboe:VIX1Y_History.csv
2007-03-09,15.21,cboe:VIX1Y_History.csv
2007-03-12,15.08,cboe:VIX1Y_History.csv
2007-03-13,15.86,cboe:VIX1Y_History.csv
2007-03-14,15.59,cboe:VIX1Y_History.csv
2007-03-15,15.49,cboe:VIX1Y_History.csv
2007-03-16,15.7,cboe:VIX1Y_History.csv
2007-03-19,15.12,cboe:VIX1Y_History.csv
2007-03-20,14.76,cboe:VIX1Y_History.csv
2007-03-21,14.03,cboe:VIX1Y_History.csv
2007-03-22,14.15,cboe:VIX1Y_History.csv
2007-03-23,14.21,cboe:VIX1Y_History.csv
2007-03-26,14.37,cboe:VIX1Y_History.csv
2007-03-27,14.49,cboe:VIX1Y_History.csv
2007-03-28,14.98,cboe:VIX1Y_History.csv
2007-03-29,14.93,cboe:VIX1Y_History.csv
2007-03-30,14.88,cboe:VIX1Y_History.csv
2007-04-02,14.84,cboe:VIX1Y_History.csv
2007-04-03,14.51,cboe:VIX1Y_History.csv
2007-04-04,14.51,cboe:VIX1Y_History.csv
2007-04-05,14.39,cboe:VIX1Y_History.csv
2007-04-09,14.31,cboe:VIX1Y_History.csv
2007-04-10,14.24,cboe:VIX1Y_History.csv
2007-04-11,14.46,cboe:VIX1Y_History.csv
2007-04-12,14.31,cboe:VIX1Y_History.csv
2007-04-13,14.11,cboe:VIX1Y_History.csv
2007-04-16,13.86,cboe:VIX1Y_History.csv
2007-04-17,13.78,cboe:VIX1Y_History.csv
2007-04-18,13.83,cboe:VIX1Y_History.csv
2007-04-19,14.35,cboe:VIX1Y_History.csv
2007-04-20,14.08,cboe:VIX1Y_History.csv
2007-04-23,14.31,cboe:VIX1Y_History.csv
2007-04-24,14.27,cboe:VIX1Y_History.csv
2007-04-25,14.23,cboe:VIX1Y_History.csv
2007-04-26,14.11,cboe:VIX1Y_History.csv
2007-04-27,14.08,cboe:VIX1Y_History.csv
2007-04-30,14.62,cboe:VIX1Y_History.csv
2007-05-01,14.44,cboe:VIX1Y_History.csv
2007-05-02,14.2,cboe:VIX1Y_History.csv
2007-05-03,14.08,cboe:VIX1Y_History.csv
2007-05-04,14.13,cboe:VIX1Y_History.csv
2007-05-07,14.11,cboe:VIX1Y_History.csv
2007-05-08,14.21,cboe:VIX1Y_History.csv
2007-05-09,14.24,cboe:VIX1Y_History.csv
2007-05-10,14.62,cboe:VIX1Y_History.csv
2007-05-11,14.49,cboe:VIX1Y_History.csv
2007-05-14,14.82,cboe:VIX1Y_History.csv
2007-05-15,14.76,cboe:VIX1Y_History.csv
2007-05-16,14.84,cboe:VIX1Y_History.csv
2007-05-17,15.01,cboe:VIX1Y_History.csv
2007-05-18,14.77,cboe:VIX1Y_History.csv
2007-05-21,14.88,cboe:VIX1Y_History.csv
2007-05-22,14.84,cboe:VIX1Y_History.csv
2007-05-23,14.89,cboe:VIX1Y_History.csv
2007-05-24,15.26,cboe:VIX1Y_History.csv
2007-05-25,15.02,cboe:VIX1Y_History.csv
2007-05-29,14.97,cboe:VIX1Y_History.csv
2007-05-30,14.78,cboe:VIX1Y_History.csv
2007-05-31,14.9,cboe:VIX1Y_History.csv
2007-06-01,14.93,cboe:VIX1Y_History.csv
2007-06-04,15.22,cboe:VIX1Y_History.csv
2007-06-05,15.31,cboe:VIX1Y_History.csv
2007-06-06,15.8,cboe:VIX1Y_History.csv
2007-06-07,16.46,cboe:VIX1Y_History.csv
2007-06-08,15.59,cboe:VIX1Y_History.csv
2007-06-11,15.48,cboe:VIX1Y_History.csv
2007-06-12,15.95,cboe:VIX1Y_History.csv
2007-06-13,15.52,cboe:VIX1Y_History.csv
2007-06-14,15.3,cboe:VIX1Y_History.csv
2007-06-15,15.49,cboe:VIX1Y_History.csv
2007-06-18,15.54,cboe:VIX1Y_History.csv
2007-06-19,15.3,cboe:VIX1Y_History.csv
2007-06-20,16.02,cboe:VIX1Y_History.csv
2007-06-21,16.06,cboe:VIX1Y_History.csv
2007-06-22,16.55,cboe:VIX1Y_History.csv
2007-06-25,16.69,cboe:VIX1Y_History.csv
2007-06-26,17.38,cboe:VIX1Y_History.csv
2007-06-27,16.29,cboe:VIX1Y_History.csv
2007-06-28,16.29,cboe:VIX1Y_History.csv
2007-06-29,16.74,cboe:VIX1Y_History.csv
2007-07-02,16.45,cboe:VIX1Y_History.csv
2007-07-03,16.31,cboe:VIX1Y_History.csv
2007-07-05,16.54,cboe:VIX1Y_History.csv
2007-07-06,16.35,cboe:VIX1Y_History.csv
2007-07-09,16.59,cboe:VIX1Y_History.csv
2007-07-10,17.44,cboe:VIX1Y_History.csv
2007-07-11,17.3,cboe:VIX1Y_History.csv
2007-07-12,17.06,cboe:VIX1Y_History.csv
2007-07-13,17.09,cboe:VIX1Y_History.csv
2007-07-16,17.3,cboe:VIX1Y_History.csv
2007-07-17,17.4,cboe:VIX1Y_History.csv
2007-07-18,17.69,cboe:VIX1Y_History.csv
2007-07-19,17.4,cboe:VIX1Y_History.csv
2007-07-20,18.09,cboe:VIX1Y_History.csv
2007-07-23,17.99,cboe:VIX1Y_History.csv
2007-07-24,18.77,cboe:VIX1Y_History.csv
2007-07-25,18.62,cboe:VIX1Y_History.csv
2007-07-26,18.74,cboe:VIX1Y_History.csv
2007-07-27,19.89,cboe:VIX1Y_History.csv
2007-07-30,19.03,cboe:VIX1Y_History.csv
2007-07-31,20.42,cboe:VIX1Y_History.csv
2007-08-01,21.1,cboe:VIX1Y_History.csv
2007-08-02,20.62,cboe:VIX1Y_History.csv
2007-08-03,22.55,cboe:VIX1Y_History.csv
2007-08-06,21.7,cboe:VIX1Y_History.csv
2007-08-07,21.21,cboe:VIX1Y_History.csv
2007-08-08,21.02,cboe:VIX1Y_History.csv
2007-08-09,22.87,cboe:VIX1Y_History.csv
2007-08-10,23.43,cboe:VIX1Y_History.csv
2007-08-13,22.39,cboe:VIX1Y_History.csv
2007-08-14,22.93,cboe:VIX1Y_History.csv
2007-08-15,23.6,cboe:VIX1Y_History.csv
2007-08-16,24.0,cboe:VIX1Y_History.csv
2007-08-17,23.54,cboe:VIX1Y_History.csv
2007-08-20,23.17,cboe:VIX1Y_History.csv
2007-08-21,22.45,cboe:VIX1Y_History.csv
2007-08-22,20.94,cboe:VIX1Y_History.csv
2007-08-23,20.99,cboe:VIX1Y_History.csv
2007-08-24,20.57,cboe:VIX1Y_History.csv
2007-08-27,21.21,cboe:VIX1Y_History.csv
2007-08-28,22.9,cboe:VIX1Y_History.csv
2007-08-29,21.85,cboe:VIX1Y_History.csv
2007-08-30,22.11,cboe:VIX1Y_History.csv
2007-08-31,21.71,cboe:VIX1Y_History.csv
2007-09-04,21.25,cboe:VIX1Y_History.csv
2007-09-05,21.66,cboe:VIX1Y_History.csv
2007-09-06,21.66,cboe:VIX1Y_History.csv
2007-09-07,22.56,cboe:VIX1Y_History.csv
2007-09-10,22.8,cboe:VIX1Y_History.csv
2007-09-11,22.06,cboe:VIX1Y_History.csv
2007-09-12,21.98,cboe:VIX1Y_History.csv
2007-09-13,21.86,cboe:VIX1Y_History.csv
2007-09-14,21.91,cboe:VIX1Y_History.csv
2007-09-17,22.37,cboe:VIX1Y_History.csv
2007-09-18,20.82,cboe:VIX1Y_History.csv
2007-09-19,20.22,cboe:VIX1Y_History.csv
2007-09-20,20.32,cboe:VIX1Y_History.csv
2007-09-21,19.96,cboe:VIX1Y_History.csv
2007-09-24,19.93,cboe:VIX1Y_History.csv
2007-09-25,19.86,cboe:VIX1Y_History.csv
2007-09-26,19.09,cboe:VIX1Y_History.csv
2007-09-27,18.63,cboe:VIX1Y_History.csv
2007-09-28,18.91,cboe:VIX1Y_History.csv
2007-10-01,18.9,cboe:VIX1Y_History.csv
2007-10-02,19.29,cboe:VIX1Y_History.csv
2007-10-03,19.62,cboe:VIX1Y_History.csv
2007-10-04,19.64,cboe:VIX1Y_History.csv
2007-10-05,19.06,cboe:VIX1Y_History.csv
2007-10-09,18.94,cboe:VIX1Y_History.csv
2007-10-10,19.28,cboe:VIX1Y_History.csv
2007-10-11,20.05,cboe:VIX1Y_History.csv
2007-10-12,19.92,cboe:VIX1Y_History.csv
2007-10-15,20.64,cboe:VIX1Y_History.csv
2007-10-16,21.05,cboe:VIX1Y_History.csv
2007-10-17,20.85,cboe:VIX1Y_History.csv
2007-10-18,20.98,cboe:VIX1Y_History.csv
2007-10-19,22.52,cboe:VIX1Y_History.csv
2007-10-22,22.16,cboe:VIX1Y_History.csv
2007-10-23,21.88,cboe:VIX1Y_History.csv
2007-10-24,22.41,cboe:VIX1Y_History.csv
2007-10-25,22.18,cboe:VIX1Y_History.csv
2007-10-26,21.89,cboe:VIX1Y_History.csv
2007-10-29,21.86,cboe:VIX1Y_History.csv
2007-10-30,22.28,cboe:VIX1Y_History.csv
2007-10-31,21.64,cboe:VIX1Y_History.csv
2007-11-01,23.23,cboe:VIX1Y_History.csv
2007-11-02,23.33,cboe:VIX1Y_History.csv
2007-11-05,23.82,cboe:VIX1Y_History.csv
2007-11-06,23.11,cboe:VIX1Y_History.csv
2007-11-07,24.67,cboe:VIX1Y_History.csv
2007-11-08,24.86,cboe:VIX1Y_History.csv
2007-11-09,25.59,cboe:VIX1Y_History.csv
2007-11-13,24.37,cboe:VIX1Y_History.csv
2007-11-14,24.95,cboe:VIX1Y_History.csv
2007-11-15,25.76,cboe:VIX1Y_History.csv
2007-11-16,25.59,cboe:VIX1Y_History.csv
2007-11-19,26.22,cboe:VIX1Y_History.csv
2007-11-20,25.71,cboe:VIX1Y_History.csv
2007-11-21,26.28,cboe:VIX1Y_History.csv
2007-11-23,25.62,cboe:VIX1Y_History.csv
2007-11-26,26.82,cboe:VIX1Y_History.csv
2007-11-27,25.84,cboe:VIX1Y_History.csv
2007-11-28,24.8,cboe:VIX1Y_History.csv
2007-11-29,24.93,cboe:VIX1Y_History.csv
2007-11-30,24.58,cboe:VIX1Y_History.csv
2007-12-03,24.71,cboe:VIX1Y_History.csv
2007-12-04,24.84,cboe:VIX1Y_History.csv
2007-12-05,24.14,cboe:VIX1Y_History.csv
2007-12-06,23.36,cboe:VIX1Y_History.csv
2007-12-07,23.33,cboe:VIX1Y_History.csv
2007-12-10,23.15,cboe:VIX1Y_History.csv
2007-12-11,24.14,cboe:VIX1Y_History.csv
2007-12-12,23.59,cboe:VIX1Y_History.csv
2007-12-13,23.75,cboe:VIX1Y_History.csv
2007-12-14,24.03,cboe:VIX1Y_History.csv
2007-12-17,24.83,cboe:VIX1Y_History.csv
2007-12-18,24.47,cboe:VIX1Y_History.csv
2007-12-19,23.88,cboe:VIX1Y_History.csv
2007-12-20,23.51,cboe:VIX1Y_History.csv
2007-12-21,22.81,cboe:VIX1Y_History.csv
2007-12-24,22.88,cboe:VIX1Y_History.csv
2007-12-26,22.66,cboe:VIX1Y_History.csv
2007-12-27,23.31,cboe:VIX1Y_History.csv
2007-12-28,23.72,cboe:VIX1Y_History.csv
2007-12-31,24.32,cboe:VIX1Y_History.csv
2008-01-02,24.55,cboe:VIX1Y_History.csv
2008-01-03,23.98,cboe:VIX1Y_History.csv
2008-01-04,24.73,cboe:VIX1Y_History.csv
2008-01-07,24.41,cboe:VIX1Y_History.csv
2008-01-08,25.28,cboe:VIX1Y_History.csv
2008-01-09,24.88,cboe:VIX1Y_History.csv
2008-01-10,24.71,cboe:VIX1Y_History.csv
2008-01-11,24.97,cboe:VIX1Y_History.csv
2008-01-14,24.74,cboe:VIX1Y_History.csv
2008-01-15,25.01,cboe:VIX1Y_History.csv
2008-01-16,24.69,cboe:VIX1Y_History.csv
2008-01-17,26.23,cboe:VIX1Y_History.csv
2008-01-18,25.89,cboe:VIX1Y_History.csv
2008-01-22,26.32,cboe:VIX1Y_History.csv
2008-01-23,25.3,cboe:VIX1Y_History.csv
2008-01-24,25.29,cboe:VIX1Y_History.csv
2008-01-25,25.8,cboe:VIX1Y_History.csv
2008-01-28,25.27,cboe:VIX1Y_History.csv
2008-01-29,25.01,cboe:VIX1Y_History.csv
2008-01-30,25.27,cboe:VIX1Y_History.csv
2008-01-31,24.58,cboe:VIX1Y_History.csv
2008-02-01,24.13,cboe:VIX1Y_History.csv
2008-02-04,24.77,cboe:VIX1Y_History.csv
2008-02-05,25.95,cboe:VIX1Y_History.csv
2008-02-06,26.56,cboe:VIX1Y_History.csv
2008-02-07,25.94,cboe:VIX1Y_History.csv
2008-02-08,26.16,cboe:VIX1Y_History.csv
2008-02-11,25.89,cboe:VIX1Y_History.csv
2008-02-12,25.8,cboe:VIX1Y_History.csv
2008-02-13,25.26,cboe:VIX1Y_History.csv
2008-02-14,25.39,cboe:VIX1Y_History.csv
2008-02-15,25.43,cboe:VIX1Y_History.csv
2008-02-19,25.29,cboe:VIX1Y_History.csv
2008-02-20,24.94,cboe:VIX1Y_History.csv
2008-02-21,25.13,cboe:VIX1Y_History.csv
2008-02-22,24.76,cboe:VIX1Y_History.csv
2008-02-25,24.34,cboe:VIX1Y_History.csv
2008-02-26,23.92,cboe:VIX1Y_History.csv
2008-02-27,24.16,cboe:VIX1Y_History.csv
2008-02-28,24.61,cboe:VIX1Y_History.csv
2008-02-29,25.72,cboe:VIX1Y_History.csv
2008-03-03,25.52,cboe:VIX1Y_History.csv
2008-03-04,25.47,cboe:VIX1Y_History.csv
2008-03-05,25.03,cboe:VIX1Y_History.csv
2008-03-06,26.08,cboe:VIX1Y_History.csv
2008-03-07,25.95,cboe:VIX1Y_History.csv
2008-03-10,26.61,cboe:VIX1Y_History.csv
2008-03-11,25.67,cboe:VIX1Y_History.csv
2008-03-12,26.4,cboe:VIX1Y_History.csv
2008-03-13,26.63,cboe:VIX1Y_History.csv
2008-03-14,27.66,cboe:VIX1Y_History.csv
2008-03-17,27.46,cboe:VIX1Y_History.csv
2008-03-18,25.42,cboe:VIX1Y_History.csv
2008-03-19,27.05,cboe:VIX1Y_History.csv
2008-03-20,26.34,cboe:VIX1Y_History.csv
2008-03-24,25.81,cboe:VIX1Y_History.csv
2008-03-25,24.84,cboe:VIX1Y_History.csv
2008-03-26,25.16,cboe:VIX1Y_History.csv
2008-03-27,25.1,cboe:VIX1Y_History.csv
2008-03-28,25.69,cboe:VIX1Y_History.csv
2008-03-31,25.27,cboe:VIX1Y_History.csv
2008-04-01,24.17,cboe:VIX1Y_History.csv
2008-04-02,24.55,cboe:VIX1Y_History.csv
2008-04-03,24.55,cboe:VIX1Y_History.csv
2008-04-04,24.18,cboe:VIX1Y_History.csv
2008-04-07,23.8,cboe:VIX1Y_History.csv
2008-04-08,23.87,cboe:VIX1Y_History.csv
2008-04-09,24.15,cboe:VIX1Y_History.csv
2008-04-10,23.89,cboe:VIX1Y_History.csv
2008-04-11,24.46,cboe:VIX1Y_History.csv
2008-04-14,24.53,cboe:VIX1Y_History.csv
2008-04-15,24.3,cboe:VIX1Y_History.csv
2008-04-16,23.23,cboe:VIX1Y_History.csv
2008-04-17,23.11,cboe:VIX1Y_History.csv
2008-04-18,22.8,cboe:VIX1Y_History.csv
2008-04-21,22.66,cboe:VIX1Y_History.csv
2008-04-22,23.03,cboe:VIX1Y_History.csv
2008-04-23,23.11,cboe:VIX1Y_History.csv
2008-04-24,22.78,cboe:VIX1Y_History.csv
2008-04-25,22.27,cboe:VIX1Y_History.csv
2008-04-28,21.95,cboe:VIX1Y_History.csv
2008-04-29,22.07,cboe:VIX1Y_History.csv
2008-04-30,22.03,cboe:VIX1Y_History.csv
2008-05-01,21.36,cboe:VIX1Y_History.csv
2008-05-02,21.16,cboe:VIX1Y_History.csv
2008-05-05,21.41,cboe:VIX1Y_History.csv
2008-05-06,21.38,cboe:VIX1Y_History.csv
2008-05-07,22.08,cboe:VIX1Y_History.csv
2008-05-08,22.15,cboe:VIX1Y_History.csv
2008-05-09,22.21,cboe:VIX1Y_History.csv
2008-05-12,21.87,cboe:VIX1Y_History.csv
2008-05-13,21.88,cboe:VIX1Y_History.csv
2008-05-14,21.78,cboe:VIX1Y_History.csv
2008-05-15,21.56,cboe:VIX1Y_History.csv
2008-05-16,21.99,cboe:VIX1Y_History.csv
2008-05-19,22.06,cboe:VIX1Y_History.csv
2008-05-20,22.55,cboe:VIX1Y_History.csv
2008-05-21,23.39,cboe:VIX1Y_History.csv
2008-05-22,23.37,cboe:VIX1Y_History.csv
2008-05-23,23.75,cboe:VIX1Y_History.csv
2008-05-27,23.58,cboe:VIX1Y_History.csv
2008-05-28,23.45,cboe:VIX1Y_History.csv
2008-05-29,23.35,cboe:VIX1Y_History.csv
2008-05-30,23.0,cboe:VIX1Y_History.csv
2008-06-02,23.69,cboe:VIX1Y_History.csv
2008-06-03,23.81,cboe:VIX1Y_History.csv
2008-06-04,24.03,cboe:VIX1Y_History.csv
2008-06-05,23.39,cboe:VIX1Y_History.csv
2008-06-06,25.21,cboe:VIX1Y_History.csv
2008-06-09,24.68,cboe:VIX1Y_History.csv
2008-06-10,24.82,cboe:VIX1Y_History.csv
2008-06-11,25.03,cboe:VIX1Y_History.csv
2008-06-12,24.76,cboe:VIX1Y_History.csv
2008-06-13,24.03,cboe:VIX1Y_History.csv
2008-06-16,23.67,cboe:VIX1Y_History.csv
2008-06-17,23.58,cboe:VIX1Y_History.csv
2008-06-18,24.29,cboe:VIX1Y_History.csv
2008-06-19,23.83,cboe:VIX1Y_History.csv
2008-06-20,24.12,cboe:VIX1Y_History.csv
2008-06-23,24.01,cboe:VIX1Y_History.csv
2008-06-24,24.03,cboe:VIX1Y_History.csv
2008-06-25,23.54,cboe:VIX1Y_History.csv
2008-06-26,24.54,cboe:VIX1Y_History.csv
2008-06-27,24.42,cboe:VIX1Y_History.csv
2008-06-30,24.25,cboe:VIX1Y_History.csv
2008-07-01,24.25,cboe:VIX1Y_History.csv
2008-07-02,24.92,cboe:VIX1Y_History.csv
2008-07-03,24.64,cboe:VIX1Y_History.csv
2008-07-07,24.88,cboe:VIX1Y_History.csv
2008-07-08,23.93,cboe:VIX1Y_History.csv
2008-07-09,24.75,cboe:VIX1Y_History.csv
2008-07-10,24.78,cboe:VIX1Y_History.csv
2008-07-11,25.36,cboe:VIX1Y_History.csv
2008-07-14,25.67,cboe:VIX1Y_History.csv
2008-07-15,25.89,cboe:VIX1Y_History.csv
2008-07-16,24.65,cboe:VIX1Y_History.csv
2008-07-17,24.46,cboe:VIX1Y_History.csv
2008-07-18,24.27,cboe:VIX1Y_History.csv
2008-07-21,24.08,cboe:VIX1Y_History.csv
2008-07-22,23.33,cboe:VIX1Y_History.csv
2008-07-23,23.33,cboe:VIX1Y_History.csv
2008-07-24,24.22,cboe:VIX1Y_History.csv
2008-07-25,24.14,cboe:VIX1Y_History.csv
2008-07-28,24.67,cboe:VIX1Y_History.csv
2008-07-29,23.71,cboe:VIX1Y_History.csv
2008-07-30,23.15,cboe:VIX1Y_History.csv
2008-07-31,23.82,cboe:VIX1Y_History.csv
2008-08-01,23.97,cboe:VIX1Y_History.csv
2008-08-04,24.14,cboe:VIX1Y_History.csv
2008-08-05,25.32,cboe:VIX1Y_History.csv
2008-08-06,23.03,cboe:VIX1Y_History.csv
2008-08-07,23.54,cboe:VIX1Y_History.csv
2008-08-08,23.35,cboe:VIX1Y_History.csv
2008-08-11,23.19,cboe:VIX1Y_History.csv
2008-08-12,23.68,cboe:VIX1Y_History.csv
2008-08-13,24.07,cboe:VIX1Y_History.csv
2008-08-14,23.7,cboe:VIX1Y_History.csv
2008-08-15,23.48,cboe:VIX1Y_History.csv
2008-08-18,24.02,cboe:VIX1Y_History.csv
2008-08-19,24.27,cboe:VIX1Y_History.csv
2008-08-20,23.95,cboe:VIX1Y_History.csv
2008-08-21,23.95,cboe:VIX1Y_History.csv
2008-08-22,23.75,cboe:VIX1Y_History.csv
2008-08-25,24.42,cboe:VIX1Y_History.csv
2008-08-26,24.35,cboe:VIX1Y_History.csv
2008-08-27,24.06,cboe:VIX1Y_History.csv
2008-08-28,23.66,cboe:VIX1Y_History.csv
2008-08-29,24.22,cboe:VIX1Y_History.csv
2008-09-02,24.56,cboe:VIX1Y_History.csv
2008-09-03,24.42,cboe:VIX1Y_History.csv
2008-09-04,25.17,cboe:VIX1Y_History.csv
2008-09-05,25.04,cboe:VIX1Y_History.csv
2008-09-08,24.46,cboe:VIX1Y_History.csv
2008-09-09,25.56,cboe:VIX1Y_History.csv
2008-09-10,25.15,cboe:VIX1Y_History.csv
2008-09-11,25.0,cboe:VIX1Y_History.csv
2008-09-12,25.13,cboe:VIX1Y_History.csv
2008-09-15,27.11,cboe:VIX1Y_History.csv
2008-09-16,26.33,cboe:VIX1Y_History.csv
2008-09-17,28.13,cboe:VIX1Y_History.csv
2008-09-18,26.96,cboe:VIX1Y_History.csv
2008-09-19,26.53,cboe:VIX1Y_History.csv
2008-09-22,26.68,cboe:VIX1Y_History.csv
2008-09-23,27.37,cboe:VIX1Y_History.csv
2008-09-24,27.15,cboe:VIX1Y_History.csv
