date,value,source
2008-01-02,24.36,cboe:VIX6M_History.csv
2008-01-03,23.75,cboe:VIX6M_History.csv
2008-01-04,24.5,cboe:VIX6M_History.csv
2008-01-07,24.22,cboe:VIX6M_History.csv
2008-01-08,25.18,cboe:VIX6M_History.csv
2008-01-09,24.48,cboe:VIX6M_History.csv
2008-01-10,24.57,cboe:VIX6M_History.csv
2008-01-11,24.96,cboe:VIX6M_History.csv
2008-01-14,24.41,cboe:VIX6M_History.csv
2008-01-15,24.9,cboe:VIX6M_History.csv
2008-01-16,24.64,cboe:VIX6M_History.csv
2008-01-17,26.52,cboe:VIX6M_History.csv
2008-01-18,26.11,cboe:VIX6M_History.csv
2008-01-22,26.87,cboe:VIX6M_History.csv
2008-01-23,25.73,cboe:VIX6M_History.csv
2008-01-24,25.74,cboe:VIX6M_History.csv
2008-01-25,26.48,cboe:VIX6M_History.csv
2008-01-28,25.73,cboe:VIX6M_History.csv
2008-01-29,25.43,cboe:VIX6M_History.csv
2008-01-30,25.68,cboe:VIX6M_History.csv
2008-01-31,22.83,cboe:VIX6M_History.csv
2008-02-01,24.18,cboe:VIX6M_History.csv
2008-02-04,25.13,cboe:VIX6M_History.csv
2008-02-05,26.58,cboe:VIX6M_History.csv
2008-02-06,27.23,cboe:VIX6M_History.csv
2008-02-07,26.47,cboe:VIX6M_History.csv
2008-02-08,26.77,cboe:VIX6M_History.csv
2008-02-11,26.38,cboe:VIX6M_History.csv
2008-02-12,26.1,cboe:VIX6M_History.csv
2008-02-13,25.53,cboe:VIX6M_History.csv
2008-02-14,25.67,cboe:VIX6M_History.csv
2008-02-15,25.65,cboe:VIX6M_History.csv
2008-02-19,25.5,cboe:VIX6M_History.csv
2008-02-20,24.95,cboe:VIX6M_History.csv
2008-02-21,25.33,cboe:VIX6M_History.csv
2008-02-22,24.79,cboe:VIX6M_History.csv
2008-02-25,24.3,cboe:VIX6M_History.csv
2008-02-26,23.78,cboe:VIX6M_History.csv
2008-02-27,24.17,cboe:VIX6M_History.csv
2008-02-28,24.61,cboe:VIX6M_History.csv
2008-02-29,26.33,cboe:VIX6M_History.csv
2008-03-03,25.91,cboe:VIX6M_History.csv
2008-03-04,25.52,cboe:VIX6M_History.csv
2008-03-05,24.8,cboe:VIX6M_History.csv
2008-03-06,26.44,cboe:VIX6M_History.csv
2008-03-07,26.51,cboe:VIX6M_History.csv
2008-03-10,27.51,cboe:VIX6M_History.csv
2008-03-11,25.77,cboe:VIX6M_History.csv
2008-03-12,26.91,cboe:VIX6M_History.csv
2008-03-13,27.03,cboe:VIX6M_History.csv
2008-03-14,28.48,cboe:VIX6M_History.csv
2008-03-17,28.41,cboe:VIX6M_History.csv
2008-03-18,25.61,cboe:VIX6M_History.csv
2008-03-19,27.83,cboe:VIX6M_History.csv
2008-03-20,26.56,cboe:VIX6M_History.csv
2008-03-24,25.91,cboe:VIX6M_History.csv
2008-03-25,26.14,cboe:VIX6M_History.csv
2008-03-26,26.49,cboe:VIX6M_History.csv
2008-03-27,26.27,cboe:VIX6M_History.csv
2008-03-28,26.24,cboe:VIX6M_History.csv
