date,value,source
2011-01-03,16.040000915527344,yahoo:^VIX9D
2011-01-04,16.06,cboe:VIX9D_History.csv
2011-01-05,15.57,cboe:VIX9D_History.csv
2011-01-06,15.71,cboe:VIX9D_History.csv
2011-01-07,15.01,cboe:VIX9D_History.csv
2011-01-10,15.81,cboe:VIX9D_History.csv
2011-01-11,14.93,cboe:VIX9D_History.csv
2011-01-12,14.82,cboe:VIX9D_History.csv
2011-01-13,14.92,cboe:VIX9D_History.csv
2011-01-14,14.3,cboe:VIX9D_History.csv
2011-01-18,16.34,cboe:VIX9D_History.csv
2011-01-19,17.74,cboe:VIX9D_History.csv
2011-01-20,16.98,cboe:VIX9D_History.csv
2011-01-21,17.32,cboe:VIX9D_History.csv
2011-01-24,17.38,cboe:VIX9D_History.csv
2011-01-25,17.75,cboe:VIX9D_History.csv
2011-01-26,16.27,cboe:VIX9D_History.csv
2011-01-27,15.07,cboe:VIX9D_History.csv
2011-01-28,21.25,cboe:VIX9D_History.csv
2011-01-31,20.5,cboe:VIX9D_History.csv
2011-02-01,17.21,cboe:VIX9D_History.csv
2011-02-02,16.83,cboe:VIX9D_History.csv
2011-02-03,15.38,cboe:VIX9D_History.csv
2011-02-04,14.19,cboe:VIX9D_History.csv
2011-02-07,15.33,cboe:VIX9D_History.csv
2011-02-08,14.56,cboe:VIX9D_History.csv
2011-02-09,14.3,cboe:VIX9D_History.csv
2011-02-10,14.53,cboe:VIX9D_History.csv
2011-02-11,14.79,cboe:VIX9D_History.csv
2011-02-14,16.16,cboe:VIX9D_History.csv
2011-02-15,16.58,cboe:VIX9D_History.csv
2011-02-16,16.87,cboe:VIX9D_History.csv
2011-02-17,15.81,cboe:VIX9D_History.csv
2011-02-18,14.92,cboe:VIX9D_History.csv
2011-02-22,22.09,cboe:VIX9D_History.csv
2011-02-23,22.77,cboe:VIX9D_History.csv
2011-02-24,21.51,cboe:VIX9D_History.csv
2011-02-25,18.47,cboe:VIX9D_History.csv
2011-02-28,18.3,cboe:VIX9D_History.csv
2011-03-01,21.59,cboe:VIX9D_History.csv
2011-03-02,20.78,cboe:VIX9D_History.csv
2011-03-03,16.85,cboe:VIX9D_History.csv
2011-03-04,17.69,cboe:VIX9D_History.csv
2011-03-07,20.97,cboe:VIX9D_History.csv
2011-03-08,19.34,cboe:VIX9D_History.csv
2011-03-09,19.93,cboe:VIX9D_History.csv
2011-03-10,22.89,cboe:VIX9D_History.csv
2011-03-11,19.4,cboe:VIX9D_History.csv
2011-03-14,21.93,cboe:VIX9D_History.csv
2011-03-15,25.9,cboe:VIX9D_History.csv
2011-03-16,31.04,cboe:VIX9D_History.csv
2011-03-17,28.62,cboe:VIX9D_History.csv
2011-03-18,25.31,cboe:VIX9D_History.csv
2011-03-21,21.02,cboe:VIX9D_History.csv
2011-03-22,20.17,cboe:VIX9D_History.csv
2011-03-23,19.06,cboe:VIX9D_History.csv
2011-03-24,17.42,cboe:VIX9D_History.csv
2011-03-25,17.49,cboe:VIX9D_History.csv
2011-03-28,19.84,cboe:VIX9D_History.csv
2011-03-29,17.46,cboe:VIX9D_History.csv
2011-03-30,16.98,cboe:VIX9D_History.csv
2011-03-31,16.31,cboe:VIX9D_History.csv
2011-04-01,15.15,cboe:VIX9D_History.csv
2011-04-04,16.72,cboe:VIX9D_History.csv
2011-04-05,15.81,cboe:VIX9D_History.csv
2011-04-06,15.21,cboe:VIX9D_History.csv
2011-04-07,15.93,cboe:VIX9D_History.csv
2011-04-08,17.21,cboe:VIX9D_History.csv
2011-04-11,18.39,cboe:VIX9D_History.csv
2011-04-12,18.93,cboe:VIX9D_History.csv
2011-04-13,17.97,cboe:VIX9D_History.csv
2011-04-14,15.99,cboe:VIX9D_History.csv
2011-04-15,14.28,cboe:VIX9D_History.csv
2011-04-18,17.63,cboe:VIX9D_History.csv
2011-04-19,15.91,cboe:VIX9D_History.csv
2011-04-20,15.04,cboe:VIX9D_History.csv
2011-04-21,13.03,cboe:VIX9D_History.csv
2011-04-25,15.05,cboe:VIX9D_History.csv
2011-04-26,15.16,cboe:VIX9D_History.csv
2011-04-27,14.61,cboe:VIX9D_History.csv
2011-04-28,12.81,cboe:VIX9D_History.csv
2011-04-29,13.09,cboe:VIX9D_History.csv
2011-05-02,15.16,cboe:VIX9D_History.csv
2011-05-03,15.71,cboe:VIX9D_History.csv
2011-05-04,16.37,cboe:VIX9D_History.csv
2011-05-05,18.87,cboe:VIX9D_History.csv
2011-05-06,18.89,cboe:VIX9D_History.csv
2011-05-09,16.56,cboe:VIX9D_History.csv
2011-05-10,14.58,cboe:VIX9D_History.csv
2011-05-11,16.8,cboe:VIX9D_History.csv
2011-05-12,15.1,cboe:VIX9D_History.csv
2011-05-13,17.13,cboe:VIX9D_History.csv
2011-05-16,19.71,cboe:VIX9D_History.csv
2011-05-17,18.33,cboe:VIX9D_History.csv
2011-05-18,16.25,cboe:VIX9D_History.csv
2011-05-19,14.92,cboe:VIX9D_History.csv
2011-05-20,18.1,cboe:VIX9D_History.csv
2011-05-23,18.87,cboe:VIX9D_History.csv
2011-05-24,17.87,cboe:VIX9D_History.csv
2011-05-25,16.83,cboe:VIX9D_History.csv
2011-05-26,14.62,cboe:VIX9D_History.csv
2011-05-27,14.79,cboe:VIX9D_History.csv
2011-05-31,14.89,cboe:VIX9D_History.csv
2011-06-01,19.1,cboe:VIX9D_History.csv
2011-06-02,18.93,cboe:VIX9D_History.csv
2011-06-03,17.99,cboe:VIX9D_History.csv
2011-06-06,19.35,cboe:VIX9D_History.csv
2011-06-07,18.41,cboe:VIX9D_History.csv
2011-06-08,19.02,cboe:VIX9D_History.csv
2011-06-09,18.11,cboe:VIX9D_History.csv
2011-06-10,18.92,cboe:VIX9D_History.csv
2011-06-13,20.28,cboe:VIX9D_History.csv
2011-06-14,18.44,cboe:VIX9D_History.csv
2011-06-15,22.03,cboe:VIX9D_History.csv
2011-06-16,24.63,cboe:VIX9D_History.csv
2011-06-17,23.13,cboe:VIX9D_History.csv
2011-06-20,20.74,cboe:VIX9D_History.csv
2011-06-21,20.18,cboe:VIX9D_History.csv
2011-06-22,18.64,cboe:VIX9D_History.csv
2011-06-23,20.07,cboe:VIX9D_History.csv
2011-06-24,22.47,cboe:VIX9D_History.csv
2011-06-27,21.99,cboe:VIX9D_History.csv
2011-06-28,19.83,cboe:VIX9D_History.csv
2011-06-29,16.96,cboe:VIX9D_History.csv
2011-06-30,15.14,cboe:VIX9D_History.csv
2011-07-01,15.29,cboe:VIX9D_History.csv
