date,country,iso3,region_group,economic_group,value,direction,source
2001-06-30,Albania,ALB,Central and Eastern Europe,upper_middle_income,0.01,purchase,wgc_fsapi:cbd_v11:quarterly_change
2001-12-31,Albania,ALB,Central and Eastern Europe,upper_middle_income,-0.03,sale,wgc_fsapi:cbd_v11:quarterly_change
2002-12-31,Albania,ALB,Central and Eastern Europe,upper_middle_income,-0.94,sale,wgc_fsapi:cbd_v11:quarterly_change
2003-03-31,Albania,ALB,Central and Eastern Europe,upper_middle_income,-0.36,sale,wgc_fsapi:cbd_v11:quarterly_change
2008-12-31,Albania,ALB,Central and Eastern Europe,upper_middle_income,-0.58,sale,wgc_fsapi:cbd_v11:quarterly_change
2015-03-31,Albania,ALB,Central and Eastern Europe,upper_middle_income,0.02,purchase,wgc_fsapi:cbd_v11:quarterly_change
2015-06-30,Albania,ALB,Central and Eastern Europe,upper_middle_income,-0.02,sale,wgc_fsapi:cbd_v11:quarterly_change
2017-12-31,Albania,ALB,Central and Eastern Europe,upper_middle_income,-0.01,sale,wgc_fsapi:cbd_v11:quarterly_change
2019-06-30,Albania,ALB,Central and Eastern Europe,upper_middle_income,0.51,purchase,wgc_fsapi:cbd_v11:quarterly_change
2019-09-30,Albania,ALB,Central and Eastern Europe,upper_middle_income,0.11,purchase,wgc_fsapi:cbd_v11:quarterly_change
2019-12-31,Albania,ALB,Central and Eastern Europe,upper_middle_income,0.62,purchase,wgc_fsapi:cbd_v11:quarterly_change
2022-06-30,Albania,ALB,Central and Eastern Europe,upper_middle_income,0.31,purchase,wgc_fsapi:cbd_v11:quarterly_change
2023-03-31,Albania,ALB,Central and Eastern Europe,upper_middle_income,0.31,purchase,wgc_fsapi:cbd_v11:quarterly_change
2003-06-30,United Arab Emirates,ARE,Middle East & North Africa,high_income,-6.19,sale,wgc_fsapi:cbd_v11:quarterly_change
2003-12-31,United Arab Emirates,ARE,Middle East & North Africa,high_income,-6.16,sale,wgc_fsapi:cbd_v11:quarterly_change
2015-06-30,United Arab Emirates,ARE,Middle East & North Africa,high_income,2.51,purchase,wgc_fsapi:cbd_v11:quarterly_change
2015-09-30,United Arab Emirates,ARE,Middle East & North Africa,high_income,2.54,purchase,wgc_fsapi:cbd_v11:quarterly_change
2015-12-31,United Arab Emirates,ARE,Middle East & North Africa,high_income,2.45,purchase,wgc_fsapi:cbd_v11:quarterly_change
2016-03-31,United Arab Emirates,ARE,Middle East & North Africa,high_income,-0.07,sale,wgc_fsapi:cbd_v11:quarterly_change
2016-06-30,United Arab Emirates,ARE,Middle East & North Africa,high_income,0.03,purchase,wgc_fsapi:cbd_v11:quarterly_change
2016-09-30,United Arab Emirates,ARE,Middle East & North Africa,high_income,0.04,purchase,wgc_fsapi:cbd_v11:quarterly_change
