date,value,call_25d_iv,put_25d_iv,iv_skew_25d,expiration_date,dte,call_strike,put_strike,call_delta,put_delta,underlying_price,source
2026-04-29,0.2422330661773682,0.2283669189453125,0.2560992134094239,-0.0277322944641113,2026-05-29,30,440.0,401.0,0.2543031500974191,-0.2475536757845853,418.91,nasdaq_gld_option_chain+black_scholes
2026-05-05,0.2565069010257721,0.2462336499214172,0.2667801521301269,-0.0205465022087097,2026-06-05,31,438.0,395.0,0.2507026166985512,-0.2375098703242717,414.71,nasdaq_gld_option_chain+black_scholes
2026-05-07,0.238263476228714,0.2318716019630431,0.2446553504943848,-0.0127837485313416,2026-06-05,29,456.0,417.0,0.2491074943895906,-0.2552472489377599,433.77,nasdaq_gld_option_chain+black_scholes
2026-05-11,0.2520437944889069,0.2517267041206359,0.2523608848571778,-0.0006341807365418,2026-06-12,32,460.0,416.0,0.2527038728571972,-0.2478134501214999,434.79,nasdaq_gld_option_chain+black_scholes
2026-05-12,0.2491303777217865,0.2474829382896423,0.2507778171539306,-0.0032948788642883,2026-06-12,31,457.0,415.0,0.2544647175040469,-0.2519967251763392,432.95,nasdaq_gld_option_chain+black_scholes
2026-05-13,0.2445075339317322,0.2456852981567382,0.2433297697067261,0.0023555284500121,2026-06-12,30,454.0,413.0,0.2524841962855205,-0.2473177703705782,430.505,nasdaq_gld_option_chain+black_scholes
2026-05-14,0.2362298064231872,0.2251864787101745,0.2472731341361999,-0.0220866554260253,2026-06-12,29,438.0,401.0,0.2498237354405585,-0.2554438313408345,417.29,nasdaq_gld_option_chain+black_scholes
2026-05-15,0.2403996639728546,0.2290678555488586,0.2517314723968505,-0.0226636168479919,2026-06-12,28,438.0,401.0,0.2498792415731627,-0.2553553192132155,417.355,nasdaq_gld_option_chain+black_scholes
2026-05-18,0.2383850672721862,0.2338552048683166,0.2429149296760559,-0.0090597248077393,2026-06-18,31,441.0,402.0,0.2493658512195408,-0.2548590605875114,418.55,nasdaq_gld_option_chain+black_scholes
2026-06-04,0.2429411551952362,0.22403255586624143,0.261849754524231,-0.03781719865798955,2026-07-02,28,415.0,380.0,0.25499897447802944,-0.2543411025767659,396.24,nasdaq_gld_option_chain+black_scholes
