date,value,source
2012-12-31,999.25,wgc_fsapi:gold_aisc:annual_mean
2013-12-31,1084.19,wgc_fsapi:gold_aisc:annual_mean
2014-12-31,975.9125,wgc_fsapi:gold_aisc:annual_mean
2015-12-31,883.21,wgc_fsapi:gold_aisc:annual_mean
2016-12-31,864.3725,wgc_fsapi:gold_aisc:annual_mean
2017-12-31,893.9925000000001,wgc_fsapi:gold_aisc:annual_mean
2018-12-31,914.0450000000001,wgc_fsapi:gold_aisc:annual_mean
2019-12-31,944.0925,wgc_fsapi:gold_aisc:annual_mean
2020-12-31,982.2375000000001,wgc_fsapi:gold_aisc:annual_mean
2021-12-31,1093.97,wgc_fsapi:gold_aisc:annual_mean
2022-12-31,1244.4624999999999,wgc_fsapi:gold_aisc:annual_mean
2023-12-31,1319.7024999999999,wgc_fsapi:gold_aisc:annual_mean
2024-12-31,1410.3075,wgc_fsapi:gold_aisc:annual_mean
2025-12-31,1610.295,wgc_fsapi:gold_aisc:annual_mean
