date,value,source
2012-03-31,926.78,wgc_fsapi:gold_aisc:quarterly
2012-06-30,1012.53,wgc_fsapi:gold_aisc:quarterly
2012-09-30,1009.15,wgc_fsapi:gold_aisc:quarterly
2012-12-31,1048.55,wgc_fsapi:gold_aisc:quarterly
2013-03-31,1137.11,wgc_fsapi:gold_aisc:quarterly
2013-06-30,1150.5,wgc_fsapi:gold_aisc:quarterly
2013-09-30,1040.18,wgc_fsapi:gold_aisc:quarterly
2013-12-31,1008.97,wgc_fsapi:gold_aisc:quarterly
2014-03-31,977.35,wgc_fsapi:gold_aisc:quarterly
2014-06-30,1002.25,wgc_fsapi:gold_aisc:quarterly
2014-09-30,977.38,wgc_fsapi:gold_aisc:quarterly
2014-12-31,945.75,wgc_fsapi:gold_aisc:quarterly
2015-03-31,915.92,wgc_fsapi:gold_aisc:quarterly
2015-06-30,909.83,wgc_fsapi:gold_aisc:quarterly
2015-09-30,859.7,wgc_fsapi:gold_aisc:quarterly
2015-12-31,847.45,wgc_fsapi:gold_aisc:quarterly
2016-03-31,829.89,wgc_fsapi:gold_aisc:quarterly
2016-06-30,881.44,wgc_fsapi:gold_aisc:quarterly
2016-09-30,881.32,wgc_fsapi:gold_aisc:quarterly
2016-12-31,864.91,wgc_fsapi:gold_aisc:quarterly
2017-03-31,887.63,wgc_fsapi:gold_aisc:quarterly
2017-06-30,884.93,wgc_fsapi:gold_aisc:quarterly
2017-09-30,906.73,wgc_fsapi:gold_aisc:quarterly
2017-12-31,896.55,wgc_fsapi:gold_aisc:quarterly
2018-03-31,927.44,wgc_fsapi:gold_aisc:quarterly
2018-06-30,929.46,wgc_fsapi:gold_aisc:quarterly
2018-09-30,908.52,wgc_fsapi:gold_aisc:quarterly
2018-12-31,891.27,wgc_fsapi:gold_aisc:quarterly
2019-03-31,920.36,wgc_fsapi:gold_aisc:quarterly
2019-06-30,945.32,wgc_fsapi:gold_aisc:quarterly
2019-09-30,963.15,wgc_fsapi:gold_aisc:quarterly
2019-12-31,945.31,wgc_fsapi:gold_aisc:quarterly
2020-03-31,985.81,wgc_fsapi:gold_aisc:quarterly
2020-06-30,970.25,wgc_fsapi:gold_aisc:quarterly
2020-09-30,971.95,wgc_fsapi:gold_aisc:quarterly
2020-12-31,1001.38,wgc_fsapi:gold_aisc:quarterly
2021-03-31,1056.87,wgc_fsapi:gold_aisc:quarterly
2021-06-30,1087.12,wgc_fsapi:gold_aisc:quarterly
2021-09-30,1117.17,wgc_fsapi:gold_aisc:quarterly
2021-12-31,1106.2,wgc_fsapi:gold_aisc:quarterly
2022-03-31,1206.13,wgc_fsapi:gold_aisc:quarterly
2022-06-30,1231.22,wgc_fsapi:gold_aisc:quarterly
2022-09-30,1271.05,wgc_fsapi:gold_aisc:quarterly
2022-12-31,1259.45,wgc_fsapi:gold_aisc:quarterly
2023-03-31,1297.63,wgc_fsapi:gold_aisc:quarterly
2023-06-30,1319.17,wgc_fsapi:gold_aisc:quarterly
2023-09-30,1326.08,wgc_fsapi:gold_aisc:quarterly
2023-12-31,1354.66,wgc_fsapi:gold_aisc:quarterly
2024-03-31,1383.56,wgc_fsapi:gold_aisc:quarterly
2024-06-30,1396.79,wgc_fsapi:gold_aisc:quarterly
2024-09-30,1467.13,wgc_fsapi:gold_aisc:quarterly
2024-12-31,1432.71,wgc_fsapi:gold_aisc:quarterly
2025-03-31,1544.18,wgc_fsapi:gold_aisc:quarterly
2025-06-30,1594.26,wgc_fsapi:gold_aisc:quarterly
2025-09-30,1604.76,wgc_fsapi:gold_aisc:quarterly
