date,value,source
2003-02-28,0.0,wgc_fsapi:etf_holdings:monthly
2003-03-31,8.229999999999999,wgc_fsapi:etf_holdings:monthly
2003-04-30,10.01,wgc_fsapi:etf_holdings:monthly
2003-05-31,11.690000000000001,wgc_fsapi:etf_holdings:monthly
2003-06-30,12.21,wgc_fsapi:etf_holdings:monthly
2003-07-31,12.83,wgc_fsapi:etf_holdings:monthly
2003-08-31,13.350000000000001,wgc_fsapi:etf_holdings:monthly
2003-09-30,15.43,wgc_fsapi:etf_holdings:monthly
2003-10-31,16.59,wgc_fsapi:etf_holdings:monthly
2003-11-30,17.36,wgc_fsapi:etf_holdings:monthly
2003-12-31,42.45,wgc_fsapi:etf_holdings:monthly
2004-01-31,43.21,wgc_fsapi:etf_holdings:monthly
2004-02-29,45.31,wgc_fsapi:etf_holdings:monthly
2004-03-31,59.19,wgc_fsapi:etf_holdings:monthly
2004-04-30,81.53999999999999,wgc_fsapi:etf_holdings:monthly
2004-05-31,63.49,wgc_fsapi:etf_holdings:monthly
2004-06-30,59.99,wgc_fsapi:etf_holdings:monthly
2004-07-31,59.65,wgc_fsapi:etf_holdings:monthly
2004-08-31,57.57,wgc_fsapi:etf_holdings:monthly
2004-09-30,58.19,wgc_fsapi:etf_holdings:monthly
2004-10-31,68.81,wgc_fsapi:etf_holdings:monthly
2004-11-30,171.56,wgc_fsapi:etf_holdings:monthly
2004-12-31,167.9,wgc_fsapi:etf_holdings:monthly
2005-01-31,224.03,wgc_fsapi:etf_holdings:monthly
2005-02-28,271.36,wgc_fsapi:etf_holdings:monthly
2005-03-31,256.41,wgc_fsapi:etf_holdings:monthly
2005-04-30,260.29,wgc_fsapi:etf_holdings:monthly
2005-05-31,259.06,wgc_fsapi:etf_holdings:monthly
2005-06-30,264.91,wgc_fsapi:etf_holdings:monthly
2005-07-31,279.64,wgc_fsapi:etf_holdings:monthly
2005-08-31,286.66,wgc_fsapi:etf_holdings:monthly
2005-09-30,301.96999999999997,wgc_fsapi:etf_holdings:monthly
2005-10-31,311.65,wgc_fsapi:etf_holdings:monthly
2005-11-30,337.78999999999996,wgc_fsapi:etf_holdings:monthly
