date,value,source
2003-02-28,0.0,wgc_fsapi:etf_holdings:weekly
2003-03-28,0.03,wgc_fsapi:etf_holdings:weekly
2003-04-04,8.26,wgc_fsapi:etf_holdings:weekly
2003-04-11,8.34,wgc_fsapi:etf_holdings:weekly
2003-04-18,8.42,wgc_fsapi:etf_holdings:weekly
2003-04-25,8.45,wgc_fsapi:etf_holdings:weekly
2003-05-02,10.01,wgc_fsapi:etf_holdings:weekly
2003-05-09,10.41,wgc_fsapi:etf_holdings:weekly
2003-05-16,11.190000000000001,wgc_fsapi:etf_holdings:weekly
2003-05-23,11.48,wgc_fsapi:etf_holdings:weekly
2003-05-30,11.690000000000001,wgc_fsapi:etf_holdings:weekly
2003-06-06,11.83,wgc_fsapi:etf_holdings:weekly
2003-06-13,11.91,wgc_fsapi:etf_holdings:weekly
2003-06-20,12.23,wgc_fsapi:etf_holdings:weekly
2003-06-27,12.17,wgc_fsapi:etf_holdings:weekly
2003-07-04,12.350000000000001,wgc_fsapi:etf_holdings:weekly
2003-07-11,12.66,wgc_fsapi:etf_holdings:weekly
2003-07-18,12.68,wgc_fsapi:etf_holdings:weekly
2003-07-25,12.790000000000001,wgc_fsapi:etf_holdings:weekly
2003-08-01,12.84,wgc_fsapi:etf_holdings:weekly
2003-08-08,12.84,wgc_fsapi:etf_holdings:weekly
2003-08-15,13.16,wgc_fsapi:etf_holdings:weekly
2003-08-22,13.31,wgc_fsapi:etf_holdings:weekly
2003-08-29,13.350000000000001,wgc_fsapi:etf_holdings:weekly
2003-09-05,13.690000000000001,wgc_fsapi:etf_holdings:weekly
2003-09-12,13.870000000000001,wgc_fsapi:etf_holdings:weekly
2003-09-19,15.39,wgc_fsapi:etf_holdings:weekly
2003-09-26,15.39,wgc_fsapi:etf_holdings:weekly
2003-10-03,15.440000000000001,wgc_fsapi:etf_holdings:weekly
2003-10-10,15.74,wgc_fsapi:etf_holdings:weekly
2003-10-17,15.790000000000001,wgc_fsapi:etf_holdings:weekly
2003-10-24,16.54,wgc_fsapi:etf_holdings:weekly
2003-10-31,16.59,wgc_fsapi:etf_holdings:weekly
2003-11-07,16.92,wgc_fsapi:etf_holdings:weekly
2003-11-14,16.96,wgc_fsapi:etf_holdings:weekly
2003-11-21,16.97,wgc_fsapi:etf_holdings:weekly
2003-11-28,17.36,wgc_fsapi:etf_holdings:weekly
2003-12-05,17.35,wgc_fsapi:etf_holdings:weekly
2003-12-12,37.1,wgc_fsapi:etf_holdings:weekly
2003-12-19,38.61,wgc_fsapi:etf_holdings:weekly
2003-12-26,40.9,wgc_fsapi:etf_holdings:weekly
2004-01-02,42.45,wgc_fsapi:etf_holdings:weekly
2004-01-09,45.56,wgc_fsapi:etf_holdings:weekly
2004-01-16,45.55,wgc_fsapi:etf_holdings:weekly
2004-01-23,45.57,wgc_fsapi:etf_holdings:weekly
2004-01-30,43.21,wgc_fsapi:etf_holdings:weekly
2004-02-06,43.21,wgc_fsapi:etf_holdings:weekly
2004-02-13,45.18,wgc_fsapi:etf_holdings:weekly
2004-02-20,45.25,wgc_fsapi:etf_holdings:weekly
2004-02-27,45.31,wgc_fsapi:etf_holdings:weekly
2004-03-05,45.3,wgc_fsapi:etf_holdings:weekly
2004-03-12,45.36,wgc_fsapi:etf_holdings:weekly
2004-03-19,45.36,wgc_fsapi:etf_holdings:weekly
2004-03-26,44.82,wgc_fsapi:etf_holdings:weekly
2004-04-02,59.230000000000004,wgc_fsapi:etf_holdings:weekly
2004-04-09,59.269999999999996,wgc_fsapi:etf_holdings:weekly
2004-04-16,59.269999999999996,wgc_fsapi:etf_holdings:weekly
2004-04-23,59.29,wgc_fsapi:etf_holdings:weekly
2004-04-30,81.53999999999999,wgc_fsapi:etf_holdings:weekly
2004-05-07,63.57,wgc_fsapi:etf_holdings:weekly
2004-05-14,63.16,wgc_fsapi:etf_holdings:weekly
2004-05-21,61.900000000000006,wgc_fsapi:etf_holdings:weekly
2004-05-28,63.22,wgc_fsapi:etf_holdings:weekly
2004-06-04,63.36,wgc_fsapi:etf_holdings:weekly
2004-06-11,60.15,wgc_fsapi:etf_holdings:weekly
2004-06-18,60.19,wgc_fsapi:etf_holdings:weekly
2004-06-25,60.160000000000004,wgc_fsapi:etf_holdings:weekly
2004-07-02,60.17,wgc_fsapi:etf_holdings:weekly
2004-07-09,58.93000000000001,wgc_fsapi:etf_holdings:weekly
2004-07-16,59.1,wgc_fsapi:etf_holdings:weekly
2004-07-23,58.81,wgc_fsapi:etf_holdings:weekly
2004-07-30,59.65,wgc_fsapi:etf_holdings:weekly
2004-08-06,59.88,wgc_fsapi:etf_holdings:weekly
2004-08-13,59.93,wgc_fsapi:etf_holdings:weekly
2004-08-20,58.769999999999996,wgc_fsapi:etf_holdings:weekly
2004-08-27,57.27,wgc_fsapi:etf_holdings:weekly
2004-09-03,57.129999999999995,wgc_fsapi:etf_holdings:weekly
2004-09-10,57.480000000000004,wgc_fsapi:etf_holdings:weekly
2004-09-17,57.29,wgc_fsapi:etf_holdings:weekly
2004-09-24,57.32,wgc_fsapi:etf_holdings:weekly
2004-10-01,58.13,wgc_fsapi:etf_holdings:weekly
2004-10-08,65.03,wgc_fsapi:etf_holdings:weekly
2004-10-15,65.47,wgc_fsapi:etf_holdings:weekly
2004-10-22,66.94,wgc_fsapi:etf_holdings:weekly
2004-10-29,68.81,wgc_fsapi:etf_holdings:weekly
2004-11-05,64.37,wgc_fsapi:etf_holdings:weekly
2004-11-12,67.26,wgc_fsapi:etf_holdings:weekly
2004-11-19,125.25,wgc_fsapi:etf_holdings:weekly
2004-11-26,169.12,wgc_fsapi:etf_holdings:weekly
2004-12-03,172.34,wgc_fsapi:etf_holdings:weekly
2004-12-10,161.18,wgc_fsapi:etf_holdings:weekly
2004-12-17,158.47,wgc_fsapi:etf_holdings:weekly
2004-12-24,162.95000000000002,wgc_fsapi:etf_holdings:weekly
2004-12-31,167.9,wgc_fsapi:etf_holdings:weekly
2005-01-07,196.51,wgc_fsapi:etf_holdings:weekly
2005-01-14,216.79,wgc_fsapi:etf_holdings:weekly
2005-01-21,217.12,wgc_fsapi:etf_holdings:weekly
2005-01-28,223.96,wgc_fsapi:etf_holdings:weekly
2005-02-04,241.4,wgc_fsapi:etf_holdings:weekly
2005-02-11,255.29000000000002,wgc_fsapi:etf_holdings:weekly
2005-02-18,268.26,wgc_fsapi:etf_holdings:weekly
