date,value,source
2010-12-31,2754.45,wgc_fsapi:supply_and_demand:annual
2011-12-31,2876.86,wgc_fsapi:supply_and_demand:annual
2012-12-31,2957.2,wgc_fsapi:supply_and_demand:annual
2013-12-31,3164.41,wgc_fsapi:supply_and_demand:annual
2014-12-31,3271.52,wgc_fsapi:supply_and_demand:annual
2015-12-31,3358.94,wgc_fsapi:supply_and_demand:annual
2016-12-31,3558.63,wgc_fsapi:supply_and_demand:annual
2017-12-31,3646.17,wgc_fsapi:supply_and_demand:annual
2018-12-31,3718.72,wgc_fsapi:supply_and_demand:annual
2019-12-31,3657.96,wgc_fsapi:supply_and_demand:annual
2020-12-31,3495.46,wgc_fsapi:supply_and_demand:annual
2021-12-31,3615.18,wgc_fsapi:supply_and_demand:annual
2022-12-31,3702.7,wgc_fsapi:supply_and_demand:annual
2023-12-31,3710.12,wgc_fsapi:supply_and_demand:annual
2024-12-31,3742.51,wgc_fsapi:supply_and_demand:annual
2025-12-31,3814.65,wgc_fsapi:supply_and_demand:annual
