date,value,source
2010-03-31,631.997,wgc_fsapi:supply_and_demand:quarterly
2010-06-30,674.595,wgc_fsapi:supply_and_demand:quarterly
2010-09-30,729.699,wgc_fsapi:supply_and_demand:quarterly
2010-12-31,718.164,wgc_fsapi:supply_and_demand:quarterly
2011-03-31,667.555,wgc_fsapi:supply_and_demand:quarterly
2011-06-30,719.682,wgc_fsapi:supply_and_demand:quarterly
2011-09-30,752.678,wgc_fsapi:supply_and_demand:quarterly
2011-12-31,736.948,wgc_fsapi:supply_and_demand:quarterly
2012-03-31,685.841,wgc_fsapi:supply_and_demand:quarterly
2012-06-30,729.458,wgc_fsapi:supply_and_demand:quarterly
2012-09-30,769.494,wgc_fsapi:supply_and_demand:quarterly
2012-12-31,772.407,wgc_fsapi:supply_and_demand:quarterly
2013-03-31,720.004,wgc_fsapi:supply_and_demand:quarterly
2013-06-30,769.476,wgc_fsapi:supply_and_demand:quarterly
2013-09-30,838.238,wgc_fsapi:supply_and_demand:quarterly
2013-12-31,836.694,wgc_fsapi:supply_and_demand:quarterly
2014-03-31,749.357,wgc_fsapi:supply_and_demand:quarterly
2014-06-30,792.573,wgc_fsapi:supply_and_demand:quarterly
2014-09-30,862.672,wgc_fsapi:supply_and_demand:quarterly
2014-12-31,866.918,wgc_fsapi:supply_and_demand:quarterly
2015-03-31,787.1,wgc_fsapi:supply_and_demand:quarterly
2015-06-30,837.658,wgc_fsapi:supply_and_demand:quarterly
2015-09-30,866.842,wgc_fsapi:supply_and_demand:quarterly
2015-12-31,867.341,wgc_fsapi:supply_and_demand:quarterly
2016-03-31,866.781,wgc_fsapi:supply_and_demand:quarterly
2016-06-30,872.231,wgc_fsapi:supply_and_demand:quarterly
2016-09-30,893.43,wgc_fsapi:supply_and_demand:quarterly
2016-12-31,926.191,wgc_fsapi:supply_and_demand:quarterly
2017-03-31,847.891,wgc_fsapi:supply_and_demand:quarterly
2017-06-30,901.598,wgc_fsapi:supply_and_demand:quarterly
2017-09-30,942.165,wgc_fsapi:supply_and_demand:quarterly
2017-12-31,954.514,wgc_fsapi:supply_and_demand:quarterly
2018-03-31,867.186,wgc_fsapi:supply_and_demand:quarterly
2018-06-30,914.789,wgc_fsapi:supply_and_demand:quarterly
2018-09-30,970.788,wgc_fsapi:supply_and_demand:quarterly
2018-12-31,965.958,wgc_fsapi:supply_and_demand:quarterly
2019-03-31,859.645,wgc_fsapi:supply_and_demand:quarterly
2019-06-30,893.754,wgc_fsapi:supply_and_demand:quarterly
2019-09-30,948.253,wgc_fsapi:supply_and_demand:quarterly
2019-12-31,956.308,wgc_fsapi:supply_and_demand:quarterly
2020-03-31,841.382,wgc_fsapi:supply_and_demand:quarterly
2020-06-30,795.71,wgc_fsapi:supply_and_demand:quarterly
2020-09-30,926.473,wgc_fsapi:supply_and_demand:quarterly
2020-12-31,931.898,wgc_fsapi:supply_and_demand:quarterly
2021-03-31,840.555,wgc_fsapi:supply_and_demand:quarterly
2021-06-30,883.422,wgc_fsapi:supply_and_demand:quarterly
2021-09-30,940.044,wgc_fsapi:supply_and_demand:quarterly
2021-12-31,951.16,wgc_fsapi:supply_and_demand:quarterly
2022-03-31,856.126,wgc_fsapi:supply_and_demand:quarterly
2022-06-30,909.176,wgc_fsapi:supply_and_demand:quarterly
2022-09-30,970.132,wgc_fsapi:supply_and_demand:quarterly
2022-12-31,967.261,wgc_fsapi:supply_and_demand:quarterly
2023-03-31,870.562,wgc_fsapi:supply_and_demand:quarterly
2023-06-30,915.535,wgc_fsapi:supply_and_demand:quarterly
2023-09-30,951.685,wgc_fsapi:supply_and_demand:quarterly
2023-12-31,972.342,wgc_fsapi:supply_and_demand:quarterly
2024-03-31,862.081,wgc_fsapi:supply_and_demand:quarterly
2024-06-30,926.234,wgc_fsapi:supply_and_demand:quarterly
2024-09-30,985.186,wgc_fsapi:supply_and_demand:quarterly
2024-12-31,969.011,wgc_fsapi:supply_and_demand:quarterly
2025-03-31,863.582,wgc_fsapi:supply_and_demand:quarterly
2025-06-30,949.86,wgc_fsapi:supply_and_demand:quarterly
2025-09-30,1032.82,wgc_fsapi:supply_and_demand:quarterly
2025-12-31,968.382,wgc_fsapi:supply_and_demand:quarterly
2026-03-31,884.681,wgc_fsapi:supply_and_demand:quarterly
