date,iso3,country,country_wgc,region_group,economic_group,source,fx_reserves_usd_mn,total_reserves_usd_mn,gold_reserves_tonnes,gold_reserves_usd_mn,gold_holdings_pct
2025-12-31,ITA,Italy,Italy,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,89426.82,433740.49,2451.87,344313.67,79.38
2025-12-31,RUS,Russian Federation,Russian Federation,Central and Eastern Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,2326.52,326711.44,
2025-12-31,CHN,China,"China, P.R.: Mainland",East Asia,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,3424872.0,3748744.37,2306.3,323872.37,8.64
2025-12-31,IND,India,India,South Asia,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,583290.0,706892.13,880.17,123602.13,17.49
2025-12-31,JPN,Japan,Japan,East Asia,High income,wgc_fsapi:cbd_v11:snapshot_latest,1252027.17,1370826.44,845.97,118799.27,8.67
2025-12-31,TUR,Turkey,"Türkiye, Rep of",Central and Eastern Europe,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,71558.99,157740.35,613.7,86181.36,54.63
2025-12-31,POL,Poland,"Poland, Rep. of",Central and Eastern Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,194481.16,271746.87,550.21,77265.71,28.43
2025-12-31,UZB,Uzbekistan,"Uzbekistan, Rep. of",Central Asia,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,11219.33,66035.22,390.35,54815.89,83.01
2025-12-31,KAZ,Kazakhstan,"Kazakhstan, Rep. of",Central Asia,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,18470.79,66363.24,341.04,47892.45,72.17
2025-12-31,GBR,United Kingdom,United Kingdom,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,170406.74,213980.09,310.29,43573.35,20.36
2025-12-31,THA,Thailand,Thailand,South East Asia,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,249273.05,282206.26,234.52,32933.21,11.67
2025-12-31,SGP,Singapore,Singapore,South East Asia,High income,wgc_fsapi:cbd_v11:snapshot_latest,404931.1,432112.85,193.56,27181.75,6.29
2025-12-31,BRA,Brazil,Brazil,Latin America & Caribbean,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,334103.93,358320.23,172.44,24216.3,6.76
2025-12-31,PHL,Philippines,Philippines,South East Asia,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,92255.96,110950.14,133.12,18694.18,16.85
2025-12-31,EGY,Egypt,"Egypt, Arab Rep. of",Middle East & North Africa,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,30709.8,48875.52,129.36,18165.72,37.17
2025-12-31,SWE,Sweden,Sweden,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,56451.31,74105.96,125.72,17654.65,23.82
2025-12-31,ZAF,South Africa,South Africa,Sub-Saharan Africa,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,58342.68,75966.75,125.5,17624.07,23.2
2025-12-31,MEX,Mexico,Mexico,Latin America & Caribbean,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,239152.0,256021.05,120.12,16869.05,6.59
2025-12-31,QAT,Qatar,Qatar,Middle East & North Africa,High income,wgc_fsapi:cbd_v11:snapshot_latest,39656.99,55834.38,115.2,16177.39,28.97
2025-12-31,HUN,Hungary,Hungary,Central and Eastern Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,43624.62,59073.53,110.01,15448.91,26.15
2025-12-31,KOR,South Korea,"Korea, Rep. of",East Asia,High income,wgc_fsapi:cbd_v11:snapshot_latest,421754.42,436421.79,104.45,14667.37,3.36
2025-12-31,ROU,Romania,Romania,Central and Eastern Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,76066.21,90618.41,103.63,14552.2,16.06
2025-12-31,IDN,Indonesia,Indonesia,South East Asia,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,144538.64,156550.09,85.53,12011.45,7.67
2025-12-31,AUS,Australia,Australia,Australasia / Oceania,High income,wgc_fsapi:cbd_v11:snapshot_latest,61978.07,73194.58,79.87,11216.51,15.32
2025-12-31,CZE,Czech Republic,Czech Rep.,Central and Eastern Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,165670.41,175726.09,71.61,10055.68,5.72
2025-12-31,DNK,Denmark,Denmark,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,66.55,9345.34,
2025-12-31,PAK,Pakistan,Pakistan,South Asia,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,17358.57,26453.94,64.77,9095.37,34.38
2025-12-31,ARG,Argentina,Argentina,Latin America & Caribbean,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,32328.31,40998.22,61.74,8669.92,21.15
2025-12-31,KHM,Cambodia,Cambodia,South East Asia,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,19877.69,27521.36,54.43,7643.67,27.77
2025-12-31,BLR,Belarus,"Belarus, Rep. of",Central and Eastern Europe,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,5838.8,11531.02,53.86,5692.22,49.36
