date,iso3,country,country_wgc,region_group,economic_group,source,gold_reserves_usd_mn,gold_reserves_usd_pct_change,total_reserves_usd_mn,total_reserves_usd_pct_change,fx_reserves_usd_mn,fx_reserves_usd_pct_change,gold_reserves_tonnes,gold_reserves_tonnes_pct_change,gold_holdings_pct,gold_holdings_pct_change
2000-12-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,27.45,0.29,235.46,-5.96,208.01,-6.73,3.11,0.0,11.66,6.65
2001-03-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,25.77,-6.1,255.67,8.59,229.9,10.52,3.11,0.0,10.08,-13.53
2001-06-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,27.06,5.01,283.24,10.78,256.18,11.43,3.11,0.0,9.55,-5.22
2001-09-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,29.31,8.31,309.74,9.36,280.43,9.47,3.11,0.0,9.46,-0.95
2001-12-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,27.65,-5.66,321.36,3.75,293.71,4.74,3.11,0.0,8.6,-9.07
2002-03-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,30.14,9.01,349.3,8.69,319.16,8.67,3.11,0.0,8.63,0.29
2002-06-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,31.85,5.67,344.98,-1.24,313.13,-1.89,3.11,0.0,9.23,7.0
2002-09-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,32.37,1.63,335.66,-2.7,303.29,-3.14,3.11,0.0,9.64,4.46
2002-12-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,34.72,7.26,374.45,11.56,339.73,12.02,3.11,0.0,9.27,-3.85
2003-03-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,33.49,-3.56,434.68,16.08,401.19,18.09,3.11,0.0,7.7,-16.92
2003-06-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,34.6,3.33,343.24,-21.04,308.64,-23.07,3.11,0.0,10.08,30.86
2003-09-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,38.8,12.14,324.98,-5.32,286.18,-7.28,3.11,0.0,11.94,18.44
2003-12-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,41.63,7.28,336.85,3.65,295.22,3.16,3.11,0.0,12.36,3.5
2004-03-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,42.37,1.79,349.99,3.9,307.62,4.2,3.11,0.0,12.11,-2.03
2004-06-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,39.58,-6.58,390.79,11.66,351.21,14.17,3.11,0.0,10.13,-16.34
2004-09-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,41.57,5.02,375.97,-3.79,334.41,-4.78,3.11,0.0,11.06,9.15
2004-12-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,43.56,4.8,338.98,-9.84,295.42,-11.66,3.11,0.0,12.85,16.24
2005-03-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,42.75,-1.86,388.97,14.75,346.22,17.19,3.11,0.0,10.99,-14.47
2005-06-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,43.71,2.25,381.57,-1.9,337.86,-2.41,3.11,0.0,11.46,4.23
2005-09-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,47.33,8.27,380.68,-0.23,333.36,-1.33,3.11,0.0,12.43,8.52
2005-12-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,51.3,8.4,324.81,-14.68,273.51,-17.95,3.11,0.0,15.79,27.05
2006-03-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,58.2,13.45,360.03,10.84,301.83,10.35,3.11,0.0,16.17,2.35
2006-06-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,61.35,5.41,346.12,-3.86,284.77,-5.65,3.11,0.0,17.72,9.65
2006-09-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,59.93,-2.32,386.42,11.64,326.5,14.65,3.11,0.0,15.51,-12.51
2006-12-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,63.2,5.47,401.02,3.78,337.82,3.47,3.11,0.0,15.76,1.63
2007-03-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,66.18,4.71,402.1,0.27,335.93,-0.56,3.11,0.0,16.46,4.43
2007-06-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,65.05,-1.7,413.16,2.75,348.11,3.63,3.11,0.0,15.74,-4.33
2007-09-30,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,high_income,wgc_fsapi:cbd_v11:quarterly,74.3,14.22,393.87,-4.67,319.57,-8.2,3.11,0.0,18.86,19.81
