date,country,iso3,region_group,economic_group,value,source
2000-12-31,Albania,ALB,Central and Eastern Europe,upper_middle_income,3.47,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Algeria,DZA,Middle East & North Africa,upper_middle_income,173.64,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Argentina,ARG,Latin America & Caribbean,upper_middle_income,0.59,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Armenia,ARM,Central and Eastern Europe,upper_middle_income,1.39,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Aruba,ABW,Latin America & Caribbean,high_income,3.11,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Australia,AUS,Australasia / Oceania,high_income,79.72,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Austria,AUT,Western Europe,high_income,377.5,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Azerbaijan,AZE,Central and Eastern Europe,upper_middle_income,0.0,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Bahrain,BHR,Middle East & North Africa,high_income,4.67,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Bangladesh,BGD,South Asia,lower_middle_income,3.38,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Belgium,BEL,Western Europe,high_income,258.09,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Bolivia,BOL,Latin America & Caribbean,lower_middle_income,29.2,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Bosnia and Herzegovina,BIH,Central and Eastern Europe,upper_middle_income,0.0,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Brazil,BRA,Latin America & Caribbean,upper_middle_income,65.88,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Bulgaria,BGR,Central and Eastern Europe,high_income,39.92,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Burundi,BDI,Sub-Saharan Africa,low_income,0.54,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Cambodia,KHM,South East Asia,lower_middle_income,12.44,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Cameroon,CMR,Sub-Saharan Africa,lower_middle_income,0.93,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Canada,CAN,North America,high_income,36.83,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Chad,TCD,Sub-Saharan Africa,low_income,0.35,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Chile,CHL,Latin America & Caribbean,high_income,2.29,wgc_fsapi:cbd_v11:quarterly
2000-12-31,China,CHN,East Asia,upper_middle_income,395.01,wgc_fsapi:cbd_v11:quarterly
2000-12-31,Colombia,COL,Latin America & Caribbean,upper_middle_income,10.19,wgc_fsapi:cbd_v11:quarterly
